Questions,Option A,Option B,Option C,Réponse,Question
Quelle serait la température terrestre sans les gaz à effet de serre ?,-19°C,0°C,+14°C,-19°C,
Quelle est la principale cause des émissions de CO2 ?,Utilisation de combustibles fossiles,Agriculture,Changement d'affectation des terres,Utilisation de combustibles fossiles,
Quel gaz a le plus grand potentiel de réchauffement global sur 20 ans par rapport au CO2 ?,CH4 (Méthane),N2O (Protoxyde d'azote),CF4,CH4 (Méthane),
Quel pourcentage des émissions de GES en 2010 était produit par le secteur de l'énergie ?,35%,50%,25%,35%,
Quelle est la concentration atmosphérique mondiale de CO2 en 2022 ?,420 ppm,350 ppm,390 ppm,420 ppm,
Quel est l'effet principal des gaz à effet de serre sur la température de la Terre ?,Augmentation de la température,Diminution de la température,Aucun effet,Augmentation de la température,
Quel secteur est le plus grand producteur de méthane (CH4) ?,Industrie,Agriculture,Transport,Agriculture,
Quelle méthode n'est pas utilisée pour prévoir le climat futur ?,Modèles de circulation générale,Analyse de carottes de glace,Astrologie,Astrologie,
Quel est le forçage radiatif du CO2 exprimé par la formule donnée ?,633 ln(S/S*),280 ln(S/S*),420 ln(S/S*),633 ln(S/S*),
"Quelle est la part des émissions nettes de GES attribuables à l'AFAT (Agriculture, foresterie et autres affectations des terres) ?",24%,35%,31%,24%,
Quelle est la durée de vie du CH4 dans l'atmosphère ?,120 ans,10 ans,459 ans,459 ans,
Quel scénario d'émission prédit une augmentation linéaire des émissions jusqu'en 2100 ?,SSP1-26,SSP5-85,SSP2-45,SSP5-85,
Quel est l'impact principal du changement climatique sur les précipitations selon les modèles ?,"Augmentation dans certaines régions, diminution dans d'autres",Augmentation globale,Diminution globale,"Augmentation dans certaines régions, diminution dans d'autres",
Quelle méthode est utilisée pour évaluer les impacts économiques du changement climatique ?,Modélisation intégrée,Analyse statistique,Études de cas,Modélisation intégrée,
Quel pourcentage du PIB mondial pourrait être affecté par le changement climatique selon certaines études ?,Moins de 1%,2% à 3%,Plus de 5%,2% à 3%,
Quelle est la part des transports dans les émissions de GES en 2010 ?,14%,21%,31%,14%,
Quel est le potentiel de réchauffement global du N2O sur 100 ans par rapport au CO2 ?,265,84,1,265,
